instance_id,role,family,parameter_hash,file,sha256,orders,products,stages,machines_per_stage,processing,eligibility_probability,arrival_process,iota,due_factor,machines,catalog_sha256,seed,sampling_attempts,Lambda,empirical_Lambda,p_bar,rho_sys
case_571da5a354b170f5,main,standard,571da5a354b170f5a3774c5b23a09ab72a541b4b97d532ec4e116d7812276f4f,cases/case_571da5a354b170f5.csv,60dc2c189ce9bc383eca5d7de1e38a3bddaed3b1bc2f6bcc4fca9c56bfac8438,48,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.10034181334449722,21.11111111111111,1.3016447368421051
case_c9cbdcf617040501,main,standard,c9cbdcf61704050175127ac7aa6d5e1671d8ea852db33165cb038e5a5a061123,cases/case_c9cbdcf617040501.csv,cb3a74fc37db1f1be3a7dac0b21d8a582607e9f9ebb7f56c284e949faac50abf,48,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.10034181334449722,21.11111111111111,1.3016447368421051
case_be8b65403d4049cb,main,standard,be8b65403d4049cbd9d3810652172a9a3cdbc343ccff82ec4f1eba60885000d0,cases/case_be8b65403d4049cb.csv,00d36b5adcbd0da097b893deb863b8216f48eb9cc62501f897a7100e921d5cba,96,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.022715907626033694,21.11111111111111,0.3123947368421052
case_aab6603eee6c6a83,main,standard,aab6603eee6c6a835e5a7f9b3c6d9cf102828df560d8b17a31ade7b790bb4758,cases/case_aab6603eee6c6a83.csv,d3041acd5f560d9a4046541f264b7cf4beceb40727e11d11be709e96de63ca8e,96,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.022715907626033694,21.11111111111111,0.3123947368421052
case_3032b7625fd94bd4,main,standard,3032b7625fd94bd41051fe132cff44bf018023a65b811f9284fca2d2a73c4ddc,cases/case_3032b7625fd94bd4.csv,a7cea08ac2fb008bf646d1b02ec6cc5834bb410f30b5f7b07e32b93f9fa938ac,96,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.056789769065084234,21.11111111111111,0.780986842105263
case_cae9274879453060,main,standard,cae9274879453060ca3403e57aa50f69d370b1ad4b26727074a3ff8d2e1b9ba3,cases/case_cae9274879453060.csv,d2f91d3362183af3f72b4dbd44e990899789134e46bbf068c5827f62a2acfffd,96,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.056789769065084234,21.11111111111111,0.780986842105263
case_0a2fa4022dc82c27,main,standard,0a2fa4022dc82c27f428d4eb57dd0bd9b8b4227eac12310e68c288f177975b46,cases/case_0a2fa4022dc82c27.csv,9d33b05954fddc54ffdb673e3f330ba978a7b61503a5d065d5d873c2b3fefdea,96,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.09464961510847372,21.11111111111111,1.3016447368421051
case_aceac2ba7641e7c2,main,standard,aceac2ba7641e7c245a2f3bd577efafee3f8a6103a7f373113a55f5cefb31e95,cases/case_aceac2ba7641e7c2.csv,90386819fb14a5954aedf7c1d5efcc0a760d2a2589b1d74ddccd6b5f0ea3a2d4,96,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.09464961510847372,21.11111111111111,1.3016447368421051
case_8caa76f3754eae6b,small,standard,8caa76f3754eae6bb676eda172e2d562655f82eac01356b088347359e008fa29,cases/case_8caa76f3754eae6b.csv,dcfc89bff52d7fbffa33d7573a7781a74fefd2c589e4869b99d4c4c5cefa2ccd,12,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.019894731620293198,21.11111111111111,0.3123947368421052
case_b16711242581d3dd,small,standard,b16711242581d3dd5838cd86ae9a54e938dee2e6a24bc0b0d5f48826cafc0b2e,cases/case_b16711242581d3dd.csv,a33f5ec453ac6af5a06d214c780c22fab31ac3e9f6c4adf2eee0b8d38a184faa,12,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.019894731620293198,21.11111111111111,0.3123947368421052
case_66146f41aeadc908,small,standard,66146f41aeadc90850f0cff1514f7c78d7c1357fd938680e982e6419f64ee31b,cases/case_66146f41aeadc908.csv,c28ed21a2dbfc64386d24ff2bd950d91e11a8d32e5208f665a163d19e7df998c,12,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.049736829050733,21.11111111111111,0.780986842105263
case_080700f73b31ce0d,small,standard,080700f73b31ce0d7ce5edc1ca446d7897dbf9de683a2fe97c3923199e313672,cases/case_080700f73b31ce0d.csv,ae73e5790d8337bcfc5dbec04811695ca267f0e913a03d07e90a2ad8054affaf,12,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.049736829050733,21.11111111111111,0.780986842105263
case_b7a65f9b52be476e,small,standard,b7a65f9b52be476e0fbca477c402d393f1504ff96df68a9e704258f65262e279,cases/case_b7a65f9b52be476e.csv,cab5c7638fe5f60049223f41cf2e083f7442fd1eacbeb239cd54a58a520b173c,12,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.082894715084555,21.11111111111111,1.3016447368421051
case_04ac5d4006eda6bc,small,standard,04ac5d4006eda6bc4c3e16fe7f2a89a18bc71629cc82c36102b28f34cbcee18e,cases/case_04ac5d4006eda6bc.csv,97624728dcfd67dce06de37696f583c9e3554a07b63ff11d77c8c36a47c6db0d,12,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.082894715084555,21.11111111111111,1.3016447368421051
case_a3a1670395234156,small,standard,a3a16703952341567f1132322f975763cf61293d4e070913891a447afd4fc7b5,cases/case_a3a1670395234156.csv,0963e562a89001b89c4ca5e2bdae568621d530ba52215ef44de9485711225e43,24,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.01845661616318821,21.11111111111111,0.3123947368421052
case_6f963526aef5998b,small,standard,6f963526aef5998b0bddaab158ef1a527cf4e88cecc83b440551503c36d70970,cases/case_6f963526aef5998b.csv,2bf0cc06c692caf352657a7e041d1a7f963cfbe541119bbf718753197a09494e,24,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.01845661616318821,21.11111111111111,0.3123947368421052
case_a2ca14f1d964abac,small,standard,a2ca14f1d964abac75c86715f3085c488796a818ad4bc46feff66cc28fec0c1f,cases/case_a2ca14f1d964abac.csv,8a463e5bc1112d65d34351aa4bfab15303ad7f905c38120a930f3b1d95bd10ec,24,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.04614154040797053,21.11111111111111,0.780986842105263
case_87538cf61900cd89,small,standard,87538cf61900cd894160a4789e549a2a63e362f5f2f4efbb7e83e3310046d7fa,cases/case_87538cf61900cd89.csv,1a9b6a0e9a4c2b18f638db346e7b599ead7a1ab70c8df85c893e4939115bccc3,24,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.04614154040797053,21.11111111111111,0.780986842105263
case_a9dbf02963d4b739,small,standard,a9dbf02963d4b739032611260497bf482056cc13cc6c3e84a4e470d81c0f0087,cases/case_a9dbf02963d4b739.csv,04ebab517b34a0503aca8d6353b1e484e4a5bd3f264784df67021df1f7a1f509,24,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.07690256734661755,21.11111111111111,1.3016447368421051
case_f4a1533a72cc71fd,small,standard,f4a1533a72cc71fd87bebd86cc7d9bf3ffc62361d3fa68660b992c14d0508b67,cases/case_f4a1533a72cc71fd.csv,b5548123dee46e4ebfd1d5439c2fa5ce2abca7351155e66f2ea6258cf53d75e6,24,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.07690256734661755,21.11111111111111,1.3016447368421051
case_397b0d50cdedd574,long_stream,standard,397b0d50cdedd57487d65e95b88c59109a5c923e6ce9770fe998ec1fc9ad05a2,cases/case_397b0d50cdedd574.csv,e96dc1ddffb2937d8cb2f941beb9ef7e6b2e4eda4f3ce721fe204d063b23180e,128,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.023860215983074654,21.11111111111111,0.3123947368421052
case_6dc466cbc749ab8e,long_stream,standard,6dc466cbc749ab8e5d744395cecd2bfc7d5b907404e124d1149f390dfcd2cea0,cases/case_6dc466cbc749ab8e.csv,7eb745e644ea0d0f4de6bfae6142c07c63f4b4331f421d24db330046f9811b54,128,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.023860215983074654,21.11111111111111,0.3123947368421052
case_6cd5d5d466b81d85,long_stream,standard,6cd5d5d466b81d85b5e1ed1b8cc74cd871cd10a7b803cf5dba6aa3c56ea1de6c,cases/case_6cd5d5d466b81d85.csv,5fb8ec067dce17922a2d94a7d80af67fc530bbf2db770373fb46016f619339b1,128,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.05965053995768663,21.11111111111111,0.780986842105263
case_a4d312ce15e3c375,long_stream,standard,a4d312ce15e3c3755dd6712a7dc1faed997ac4fd097e05e34f3430e758bfe393,cases/case_a4d312ce15e3c375.csv,ae4ba658cdb79d01d2c35775fa7b1c019ec58f80f167507b5dce920e3e40ad47,128,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.05965053995768663,21.11111111111111,0.780986842105263
case_b3a942596aa7149d,long_stream,standard,b3a942596aa7149ddf4ebe4bd5d6e93f703ae6ac21ec35aeb640318b7fa8ee93,cases/case_b3a942596aa7149d.csv,ad0d5f0267f5efe2f1a83b01056d00ff73b9050560d245957db33ee27956e5e7,128,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.09941756659614441,21.11111111111111,1.3016447368421051
case_4e352de6618435ae,long_stream,standard,4e352de6618435aea74f2a67fb441439e9bfd87a79480f9984cda4d07e083b03,cases/case_4e352de6618435ae.csv,6fe56ed432a1b02c304959085bc5b0e9cd6e2efa7035e91062ce0e0586e94184,128,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.09941756659614441,21.11111111111111,1.3016447368421051
case_9de9440f4d4f28ed,long_stream,standard,9de9440f4d4f28ed0d522adc92351daaf1ae4dcd3a2f458ce0c5676d4f01f3b7,cases/case_9de9440f4d4f28ed.csv,774f5d4a72eb14bc35aa751b7ff3e25512f19482ef9fdfcc55f909cc86d94b00,192,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.02523061028588438,21.11111111111111,0.3123947368421052
case_b1f9129c01484e14,long_stream,standard,b1f9129c01484e14c4d52097ea389e27560c370ede2afb4c5cd1e793070de819,cases/case_b1f9129c01484e14.csv,155a7ae1d79c11f8f444e411aad1715f0d47e7379258c71a447ed924a5aff5dd,192,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,0.6,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.028421052631578948,0.02523061028588438,21.11111111111111,0.3123947368421052
case_2e7c082afb1455be,long_stream,standard,2e7c082afb1455be97235e97fb80685d0b64c4335a329489c19fd3c4f9905c01,cases/case_2e7c082afb1455be.csv,6ce2512b00df94b3d8798b22ebead80bcea2e4a1645d64d7b650111cea34ee3b,192,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.06307652571471094,21.11111111111111,0.780986842105263
case_f94728aac9012529,long_stream,standard,f94728aac9012529dab8f87a4c12476d983fdbe3dbd266b0de7f76d71814c371,cases/case_f94728aac9012529.csv,9531faa355942e87ce1502533ac67885c778b49eeabe2ec8cdf0e8182eb506ef,192,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,1.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.07105263157894737,0.06307652571471094,21.11111111111111,0.780986842105263
case_611d3af5163437b4,long_stream,standard,611d3af5163437b4d15756fa6f9fb73f6eface16c29be29aacfcc5717b617bac,cases/case_611d3af5163437b4.csv,4ec4eed73a526172f306ffd174df7a59a765f03890ed85685c6a4c6c4b7c3568,192,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,1.5,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.10512754285785159,21.11111111111111,1.3016447368421051
case_e5548004fb2d5a40,long_stream,standard,e5548004fb2d5a40f543d9a75e6b9c3ab25da392fc08c74358eb7df54ecea23b,cases/case_e5548004fb2d5a40.csv,afce2a90d28401d32ea6771bb6615b7ce3188cfd84b6c2b9bb65403ed8c6cdb4,192,3,3,"[2, 2, 2]","[4, 30]",0.8,poisson,2.5,3.0,6,8e1a1226ad44ba7f0a8335c0739b8fd3cbfb1077b813ea72b25e22be3d1056a1,1944001,2,0.11842105263157894,0.10512754285785159,21.11111111111111,1.3016447368421051
case_9cad1af3b3c7096b,large_shop,large5,9cad1af3b3c7096ba054c16dd1d84a4756af639f2c4314e321c3a90c62f0b2f5,cases/case_9cad1af3b3c7096b.csv,a00a37968cfa9991b878caf1a392cab0b74dfc1a5603def2ef128baa5bf38cb9,128,6,5,"[3, 3, 3, 3, 3]","[4, 30]",0.8,poisson,1.5,1.5,15,4f2ee949c2cd506ce60f662b3797de002288c2d4a01da6454e1dcaf12b8a0dfb,2166001,1,0.08864084039098194,0.07976386303174919,16.922222232818605,0.466354116792306
case_6672efc8749cfb87,large_shop,large5,6672efc8749cfb878259e3fa202932db95f50b237c99e4e46b58bcbfdeb964b7,cases/case_6672efc8749cfb87.csv,60fe020027e2da291a846a80f8d5adf7a33da71ec63a582e90607722dcb1dac3,128,6,5,"[3, 3, 3, 3, 3]","[4, 30]",0.8,poisson,1.5,3.0,15,4f2ee949c2cd506ce60f662b3797de002288c2d4a01da6454e1dcaf12b8a0dfb,2166001,1,0.08864084039098194,0.07976386303174919,16.922222232818605,0.466354116792306
case_f75fef936e8d637c,large_shop,large5,f75fef936e8d637c1960123c2355ee14f6f7a8437a9ef13eccc85f57d24bc40d,cases/case_f75fef936e8d637c.csv,8a4ff241795b1e550f7c8f34dc5755ad9cb34e84d7b4f6bced17098c28765761,128,6,5,"[3, 3, 3, 3, 3]","[4, 30]",0.8,poisson,2.5,1.5,15,4f2ee949c2cd506ce60f662b3797de002288c2d4a01da6454e1dcaf12b8a0dfb,2166001,1,0.1477347339849699,0.132939771719582,16.922222232818605,0.77725686132051
case_dbfde1030bd3d0a5,large_shop,large5,dbfde1030bd3d0a5b58ec426dc7a0dd480fa868860fc8aaf6fbce624da52715b,cases/case_dbfde1030bd3d0a5.csv,7d04252c0c1c234b8750f9921dd86092fa158d51fdd92c785a60f84dcc85bf69,128,6,5,"[3, 3, 3, 3, 3]","[4, 30]",0.8,poisson,2.5,3.0,15,4f2ee949c2cd506ce60f662b3797de002288c2d4a01da6454e1dcaf12b8a0dfb,2166001,1,0.1477347339849699,0.132939771719582,16.922222232818605,0.77725686132051
case_7e22f90393cc5288,large_shop,large7,7e22f90393cc5288d43ae4119fd713719f6cebb1c3d387861045949176dab9c1,cases/case_7e22f90393cc5288.csv,c4a5b92baee772857fe7b09418ff053d006c1c3265eb33189f57c5b593621f53,192,6,7,"[3, 3, 3, 3, 3, 3, 3]","[4, 30]",0.8,poisson,1.5,1.5,21,7259ea0e5f71349b03f29f40d6ec384df7ae39a0fcd48f1bac9ef41b3d1a988a,2166002,1,0.08274956251714594,0.09006780375277514,18.12698405129569,0.45389472540207676
case_76943ef16c179574,large_shop,large7,76943ef16c17957415be5454f57bd0e0c4abc1663c7301c64d4bc15ff034bb81,cases/case_76943ef16c179574.csv,8dd5c623c3e73e287f46233bca4bad01aae53f0eed4ac38502194cb3e6ebd4ac,192,6,7,"[3, 3, 3, 3, 3, 3, 3]","[4, 30]",0.8,poisson,1.5,3.0,21,7259ea0e5f71349b03f29f40d6ec384df7ae39a0fcd48f1bac9ef41b3d1a988a,2166002,1,0.08274956251714594,0.09006780375277514,18.12698405129569,0.45389472540207676
case_10e2a9715ee4bc23,large_shop,large7,10e2a9715ee4bc23497cce1a16a5095f1f7a7750ecf54c023f70e6c9a7cb99ff,cases/case_10e2a9715ee4bc23.csv,79dec84b347cd562dfbcd98f155c3444cb08fc5d77ac2cc95977a91605d02618,192,6,7,"[3, 3, 3, 3, 3, 3, 3]","[4, 30]",0.8,poisson,2.5,1.5,21,7259ea0e5f71349b03f29f40d6ec384df7ae39a0fcd48f1bac9ef41b3d1a988a,2166002,1,0.13791593752857656,0.15011300625462523,18.12698405129569,0.7564912090034612
case_77e09fceceebc699,large_shop,large7,77e09fceceebc6995320c1e990c741f1ba081bbe2bc8a20aab0bff86717bfb66,cases/case_77e09fceceebc699.csv,df79cdbf784355a1f859dde0fe696d83472ff2bbe993fc12a570cf31318c9b83,192,6,7,"[3, 3, 3, 3, 3, 3, 3]","[4, 30]",0.8,poisson,2.5,3.0,21,7259ea0e5f71349b03f29f40d6ec384df7ae39a0fcd48f1bac9ef41b3d1a988a,2166002,1,0.13791593752857656,0.15011300625462523,18.12698405129569,0.7564912090034612
